date,stock,weight
2023-04-13,300558.SZ,0.05843397542087267
2023-04-13,688029.SH,0.03328097204670652
2023-04-20,601228.SH,0.3911945736335781
2023-04-20,601000.SH,0.1860418280631656
2023-04-20,600863.SH,0.13069622810178746
2023-04-20,601866.SH,0.22486785885971278
2023-04-20,600717.SH,0.067199511341756
2023-04-27,000528.SZ,0.1109529591295059
2023-04-27,600350.SH,0.33199085102920817
2023-04-27,600863.SH,0.11461804937327882
2023-04-27,600928.SH,0.10483319812880611
2023-04-27,601665.SH,0.337604942339201
2023-05-04,600350.SH,0.3981375349004633
2023-05-04,600764.SH,0.04703205598008154
2023-05-04,603983.SH,0.04912481938236963
2023-05-04,002203.SZ,0.17280862671643837
2023-05-04,600167.SH,0.3328969630206472
2023-05-11,600928.SH,0.08489790859206064
2023-05-11,600167.SH,0.18228067809305373
2023-05-11,600917.SH,0.3110228845744895
2023-05-11,000598.SZ,0.34210328451936384
2023-05-11,000958.SZ,0.07969524422103232
2023-05-18,600885.SH,0.07305724691083093
2023-05-18,600848.SH,0.35203011135879464
2023-05-18,600956.SH,0.1332268063787681
2023-05-18,600917.SH,0.4203419731675419
2023-05-18,002531.SZ,0.021343862184064484
2023-05-25,002138.SZ,0.1681244641910885
2023-05-25,600378.SH,0.22979489507068643
2023-05-25,002180.SZ,0.14608048170354732
2023-05-25,002273.SZ,0.1597456025751867
2023-05-25,300463.SZ,0.2962545564594911
2023-06-01,002156.SZ,0.14850444851286396
2023-06-01,002815.SZ,0.4182556630377259
2023-06-01,688385.SH,0.14109583734052747
2023-06-01,601869.SH,0.27061216216023054
2023-06-01,300474.SZ,0.021531888948652222
2023-06-08,300253.SZ,0.10491084292737315
2023-06-08,600556.SH,0.16522770438970205
2023-06-08,300676.SZ,0.25521263631298013
2023-06-08,002396.SZ,0.37002419547507104
2023-06-08,300182.SZ,0.1046246208948735
2023-06-15,000932.SZ,0.35403767264391417
2023-06-15,002002.SZ,0.19017773794772103
2023-06-15,300682.SZ,0.09854831534879051
2023-06-15,600026.SH,0.10389420894265156
2023-06-15,600507.SH,0.25334206511692287
2023-06-26,002690.SZ,0.22812320837419908
2023-06-26,002434.SZ,0.23737890342291987
2023-06-26,301029.SZ,0.2176358694455719
2023-06-26,603638.SH,0.17760715467515223
2023-06-26,002008.SZ,0.13925486408215698
2023-06-29,601139.SH,0.4212652858918431
2023-06-29,003035.SZ,0.025077272499337205
2023-06-29,600236.SH,0.3159828957568559
2023-06-29,300357.SZ,3.753749374946345e-17
2023-06-29,600863.SH,0.2376745458519638
2023-07-06,000039.SZ,0.4373675184781818
2023-07-06,600871.SH,0.2151535802078496
2023-07-06,600500.SH,0.10555485259783373
2023-07-06,600673.SH,0.15040856843019057
2023-07-06,600416.SH,0.09151548028594442
2023-07-13,000830.SZ,0.0
2023-07-13,002078.SZ,0.20639835220140576
2023-07-13,000039.SZ,0.37019450598848724
2023-07-13,600623.SH,0.3250305118322533
2023-07-13,002416.SZ,0.09837662997785386
2023-07-20,600155.SH,0.21120107392702905
2023-07-20,000783.SZ,0.2304652122562339
2023-07-20,000623.SZ,0.46681933673761905
2023-07-20,600988.SH,0.0421678105871765
2023-07-20,600160.SH,0.049346566491941336
2023-07-27,601992.SH,0.0735885289159817
2023-07-27,002233.SZ,0.2282671059106654
2023-07-27,601880.SH,0.4847864172093015
2023-07-27,600120.SH,0.18859675088642217
2023-07-27,002761.SZ,0.024761197077629384
2023-08-03,000718.SZ,0.17609065583029404
2023-08-03,603866.SH,0.08830370000740353
2023-08-03,000778.SZ,0.061896569630187616
2023-08-03,000709.SZ,0.5027738424905775
2023-08-03,600901.SH,0.17093523204153735
2023-08-10,600271.SH,0.4639646530282031
2023-08-10,002065.SZ,0.08423649151105238
2023-08-10,002212.SZ,0.2016288963344693
2023-08-10,688116.SH,0.13065880279707465
2023-08-10,600037.SH,0.11951115632920069
2023-08-17,000999.SZ,0.1184266317459214
2023-08-17,300395.SZ,0.1685845043957541
2023-08-17,300487.SZ,0.13770622112328432
2023-08-17,300630.SZ,0.1938905847666385
2023-08-17,300869.SZ,0.3813920579684017
2023-08-24,601000.SH,0.06678060410080809
2023-08-24,600862.SH,0.2411513193147314
2023-08-24,600377.SH,0.26784745610595906
2023-08-24,600350.SH,0.161904818126805
2023-08-24,001965.SZ,0.2623158023516965
